CD_MUN,lat,long,Município,UF,População 2022,GRUPO,TEXTO
4112603,-52.079344,-22.573822,Jardim Olinda,PR,1.343,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1857 integrantes."
4304853,-51.92976,-27.70432,Carlos Gomes,RS,1.368,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1832 integrantes."
4322186,-51.5376,-27.930165,Tupanci do Sul,RS,1.374,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1826 integrantes."
3555901,-49.296288,-21.765975,Uru,SP,1.387,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1813 integrantes."
5212253,-51.284111,-19.182692,Lagoa Santa,GO,1.390,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1810 integrantes."
3127909,-47.760399,-18.488132,Grupiara,MG,1.392,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1808 integrantes."
5204201,-50.69884,-16.719485,Cachoeira de Goiás,GO,1.405,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1795 integrantes."
4309258,-51.65979,-28.577607,Guabiju,RS,1.417,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1783 integrantes."
3123403,-45.88705,-20.291679,Doresópolis,MG,1.461,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1739 integrantes."
1706258,-49.072747,-11.171862,Crixás do Tocantins,TO,1.470,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1730 integrantes."
3146602,-43.423872,-21.286755,Paiva,MG,1.474,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1726 integrantes."
3515806,-51.374276,-21.698445,Flora Rica,SP,1.487,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1713 integrantes."
4312351,-52.050189,-28.669827,Montauri,RS,1.499,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1701 integrantes."
1704600,-49.195671,-10.165713,Chapada de Areia,TO,1.501,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1699 integrantes."
4317251,-51.71096,-29.163687,Santa Tereza,RS,1.505,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1695 integrantes."
3103108,-42.152021,-21.022543,Antônio Prado de Minas,MG,1.538,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1662 integrantes."
4315313,-52.471294,-27.842729,Quatro Irmãos,RS,1.552,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1648 integrantes."
4315073,-54.891119,-27.754564,Porto Vera Cruz,RS,1.560,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1640 integrantes."
3118502,-45.915545,-22.536459,Consolação,MG,1.563,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1637 integrantes."
4314787,-52.506221,-27.654806,Ponte Preta,RS,1.575,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1625 integrantes."
1720853,-48.834343,-12.113281,Sucupira,TO,1.577,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1623 integrantes."
1709807,-48.403522,-11.135082,Ipueiras,TO,1.590,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1610 integrantes."
4323606,-51.782189,-28.82075,Vista Alegre do Prata,RS,1.590,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1610 integrantes."
3147501,-43.1753,-19.360287,Passabém,MG,1.600,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1600 integrantes."
3555703,-49.887257,-20.890531,União Paulista,SP,1.603,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1597 integrantes."
4305934,-51.720399,-29.262617,Coronel Pilar,RS,1.607,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1593 integrantes."
3513850,-50.628126,-20.448452,Dirce Reis,SP,1.620,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1580 integrantes."
1712157,-46.410455,-12.812627,Lavandeira,TO,1.626,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1574 integrantes."
4306130,-52.644018,-27.62734,Cruzaltense,RS,1.635,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1565 integrantes."
3547650,-50.72015,-20.258687,Santa Salete,SP,1.645,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1555 integrantes."
4313466,-53.058483,-27.744257,Novo Xingu,RS,1.646,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1554 integrantes."
4215695,-52.697312,-26.630874,Santiago do Sul,SC,1.651,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1549 integrantes."
3515657,-49.542363,-22.365789,Fernão,SP,1.656,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1544 integrantes."
4304614,-52.234153,-29.327007,Canudos do Vale,RS,1.656,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1544 integrantes."
4202099,-53.425055,-26.668358,Barra Bonita,SC,1.668,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1532 integrantes."
4308250,-52.045339,-27.857824,Floriano Peixoto,RS,1.668,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1532 integrantes."
3555307,-50.456763,-20.083547,Turmalina,SP,1.669,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1531 integrantes."
3547205,-50.797099,-20.260726,Santana da Ponte Pensa,SP,1.670,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1530 integrantes."
4316733,-51.898481,-28.181322,Santa Cecília do Sul,RS,1.674,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1526 integrantes."
3554755,-48.345151,-22.032292,Trabiju,SP,1.682,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1518 integrantes."
4311643,-51.215484,-29.459679,Linha Nova,RS,1.683,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1517 integrantes."
5213400,-50.772861,-16.507899,Moiporá,GO,1.685,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1515 integrantes."
4213906,-51.780936,-27.233335,Presidente Castello Branco,SC,1.689,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1511 integrantes."
3168200,-46.16068,-19.876199,Tapiraí,MG,1.690,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1510 integrantes."
4301925,-52.406711,-27.403046,Barra do Rio Azul,RS,1.696,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1504 integrantes."
2514651,-37.358148,-6.235422,São José do Brejo do Cruz,PB,1.699,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1501 integrantes."
4209458,-52.552085,-26.854941,Lajeado Grande,SC,1.702,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1498 integrantes."
2510659,-36.668834,-7.327255,Parari,PB,1.720,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1480 integrantes."
4310462,-52.418562,-27.931151,Ipiranga do Sul,RS,1.720,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1480 integrantes."
4312625,-51.776905,-28.32697,Muliterno,RS,1.721,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1479 integrantes."
4304622,-51.389166,-28.152387,Capão Bonito do Sul,RS,1.733,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1467 integrantes."
4311270,-52.834132,-28.570945,Lagoa dos Três Cantos,RS,1.738,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1462 integrantes."
4315131,-52.228653,-29.157993,Pouso Novo,RS,1.739,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1461 integrantes."
2512606,-37.135505,-7.040682,Quixaba,PB,1.743,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1457 integrantes."
4308854,-52.039579,-28.386203,Gentil,RS,1.744,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1456 integrantes."
4123600,-51.897824,-22.712986,Santa Inês,PR,1.748,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1452 integrantes."
4319364,-53.237675,-27.779707,São Pedro das Missões,RS,1.757,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1443 integrantes."
1718659,-46.737657,-11.336993,Rio da Conceição,TO,1.768,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1432 integrantes."
3153806,-43.890759,-20.732107,Queluzito,MG,1.770,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1430 integrantes."
5220058,-50.372931,-16.818767,São João da Paraúna,GO,1.774,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1426 integrantes."
4208955,-52.871306,-26.717195,Jardinópolis,SC,1.776,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1424 integrantes."
4210050,-51.353132,-26.803514,Macieira,SC,1.778,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1422 integrantes."
4217154,-53.239962,-26.689643,São Miguel da Boa Vista,SC,1.781,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1419 integrantes."
1720150,-46.677914,-10.068601,São Félix do Tocantins,TO,1.783,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1417 integrantes."
4205357,-53.337342,-26.763781,Flor do Sertão,SC,1.783,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1417 integrantes."
3556958,-50.485487,-20.198409,Vitória Brasil,SP,1.794,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1406 integrantes."
4312179,-54.656567,-28.243019,Mato Queimado,RS,1.795,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1405 integrantes."
4315453,-52.065257,-29.123288,Relvado,RS,1.796,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1404 integrantes."
4300554,-52.988925,-28.80432,Alto Alegre,RS,1.800,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1400 integrantes."
5107883,-51.362098,-12.023007,Serra Nova Dourada,MT,1.800,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1400 integrantes."
3160504,-43.249049,-19.241403,Santo Antônio do Rio Abaixo,MG,1.808,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1392 integrantes."
3149408,-43.729117,-21.725281,Pedro Teixeira,MG,1.810,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1390 integrantes."
3555208,-50.111266,-20.940486,Turiúba,SP,1.818,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1382 integrantes."
4322855,-51.86048,-29.066782,Vespasiano Corrêa,RS,1.818,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1382 integrantes."
3166402,-44.4596,-21.91652,Seritinga,MG,1.819,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1381 integrantes."
2414902,-37.955024,-5.987056,Viçosa,RN,1.822,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1378 integrantes."
2504850,-36.634163,-7.64525,Coxixola,PB,1.824,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1376 integrantes."
3123502,-47.604393,-18.437368,Douradoquara,MG,1.829,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1371 integrantes."
4320578,-54.460104,-28.14515,Sete de Setembro,RS,1.830,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1370 integrantes."
3503950,-50.72803,-20.183559,Aspásia,SP,1.842,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1358 integrantes."
1715150,-46.559629,-12.914262,Novo Alegre,TO,1.846,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1354 integrantes."
3549250,-50.356285,-20.520795,São João de Iracema,SP,1.846,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1354 integrantes."
4107520,-53.797507,-23.714179,Esperança Nova,PR,1.849,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1351 integrantes."
4200754,-51.925948,-27.421535,Alto Bela Vista,SC,1.856,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1344 integrantes."
4312005,-52.168376,-27.342492,Mariano Moro,RS,1.858,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1342 integrantes."
5200209,-48.791107,-18.07985,Água Limpa,GO,1.858,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1342 integrantes."
3529104,-50.832319,-20.479878,Marinópolis,SP,1.860,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1340 integrantes."
1721307,-48.210682,-8.356587,Tupiratins,TO,1.874,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1326 integrantes."
4306759,-51.976696,-29.091923,Doutor Ricardo,RS,1.888,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1312 integrantes."
4318465,-52.27466,-29.065004,São José do Herval,RS,1.902,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1298 integrantes."
5206909,-47.56555,-18.117487,Davinópolis,GO,1.902,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1298 integrantes."
1721257,-48.259595,-8.938579,Tupirama,TO,1.909,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1291 integrantes."
4211876,-52.487869,-27.213003,Paial,SC,1.927,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1273 integrantes."
4310751,-53.583633,-29.513571,Ivorá,RS,1.929,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1271 integrantes."
4312674,-52.448366,-28.520784,Nicolau Vergueiro,RS,1.932,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1268 integrantes."
4302154,-53.34152,-27.701601,Boa Vista das Missões,RS,1.933,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1267 integrantes."
3531001,-50.079458,-20.863136,Monções,SP,1.937,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1263 integrantes."
4310579,-52.195567,-28.775739,Itapuca,RS,1.937,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1263 integrantes."
4320453,-52.243416,-29.395095,Sério,RS,1.941,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1259 integrantes."
3145406,-43.96607,-21.9071,Olaria,MG,1.945,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1255 integrantes."
3527256,-50.234035,-20.949148,Lourdes,SP,1.950,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1250 integrantes."
3529658,-50.615397,-19.957485,Mesópolis,SP,1.952,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1248 integrantes."
2512788,-36.137753,-7.682908,Riacho de Santo Antônio,PB,1.955,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1245 integrantes."
1703826,-47.841336,-6.090009,Cachoeirinha,TO,1.961,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1239 integrantes."
4116000,-51.485217,-22.973112,Miraselva,PR,1.966,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1234 integrantes."
3518008,-50.344608,-20.066834,Guarani d'Oeste,SP,1.968,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1232 integrantes."
4204756,-53.10087,-26.975087,Cunhataí,SC,1.968,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1232 integrantes."
4300471,-52.907642,-28.129957,Almirante Tamandaré do Sul,RS,1.969,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1231 integrantes."
5200506,-49.465453,-17.693821,Aloândia,GO,1.973,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1227 integrantes."
1703602,-48.442793,-8.289902,Brasilândia do Tocantins,TO,1.974,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1226 integrantes."
3167004,-44.53689,-21.830991,Serranos,MG,1.990,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1210 integrantes."
4322343,-54.646549,-28.038153,Ubiretama,RS,1.994,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1206 integrantes."
4322376,-55.158783,-29.068503,Unistalda,RS,1.995,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1205 integrantes."
4322558,-51.835139,-28.490298,Vanini,RS,2.004,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1196 integrantes."
2501153,-36.961875,-7.111875,Areia de Baraúnas,PB,2.005,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1195 integrantes."
4206751,-51.215463,-27.208374,Ibiam,SC,2.008,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1192 integrantes."
5106703,-52.936575,-16.65895,Ponte Branca,MT,2.008,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1192 integrantes."
4309126,-52.914916,-27.445687,Gramado dos Loureiros,RS,2.014,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1186 integrantes."
4310413,-54.030551,-27.902508,Inhacorá,RS,2.014,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1186 integrantes."
5106315,-50.887946,-12.313386,Novo Santo Antônio,MT,2.015,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1185 integrantes."
1720937,-46.993724,-12.139725,Taipas do Tocantins,TO,2.021,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1179 integrantes."
3543238,-51.583278,-21.784269,Ribeirão dos Índios,SP,2.025,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1175 integrantes."
4315172,-51.487306,-28.736945,Protásio Alves,RS,2.025,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1175 integrantes."
3145703,-43.514918,-21.335819,Oliveira Fortes,MG,2.027,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1173 integrantes."
4320651,-53.570202,-29.633393,Silveira Martins,RS,2.028,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1172 integrantes."
3532843,-50.910559,-20.372051,Nova Canaã Paulista,SP,2.032,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1168 integrantes."
2404804,-37.186351,-6.77416,Ipueira,RN,2.035,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1165 integrantes."
4310876,-53.014328,-29.035099,Jacuizinho,RS,2.040,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1160 integrantes."
4312955,-52.979518,-27.996819,Nova Boa Vista,RS,2.042,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1158 integrantes."
3503356,-50.430943,-21.766339,Arco-Íris,SP,2.044,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1156 integrantes."
3554656,-48.212682,-23.250087,Torre de Pedra,SP,2.046,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1154 integrantes."
3103306,-43.403757,-21.350335,Aracitaba,MG,2.049,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1151 integrantes."
4314175,-53.691278,-31.838974,Pedras Altas,RS,2.061,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1139 integrantes."
5207105,-51.350459,-16.223307,Diorama,GO,2.062,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1138 integrantes."
4204459,-52.671875,-26.534646,Coronel Martins,SC,2.065,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1135 integrantes."
3165800,-46.141077,-22.156764,Senador José Bento,MG,2.068,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1132 integrantes."
4207858,-52.890099,-26.627592,Irati,SC,2.069,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1131 integrantes."
2405900,-37.837899,-6.287878,João Dias,RN,2.076,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1124 integrantes."
4323358,-52.142414,-28.128164,Vila Lângaro,RS,2.079,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1121 integrantes."
4302055,-52.642621,-27.484799,Benjamin Constant do Sul,RS,2.082,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1118 integrantes."
4215604,-49.181865,-28.011907,Santa Rosa de Lima,SC,2.088,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1112 integrantes."
4317756,-52.681467,-28.365094,Santo Antônio do Planalto,RS,2.089,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1111 integrantes."
3536570,-49.305567,-22.568388,Paulistânia,SP,2.090,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1110 integrantes."
4306429,-53.495961,-27.676192,Dois Irmãos das Missões,RS,2.090,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1110 integrantes."
4317558,-52.00864,-28.495604,Santo Antônio do Palma,RS,2.091,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1109 integrantes."
4302378,-53.848927,-27.545264,Bom Progresso,RS,2.096,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1104 integrantes."
5214804,-48.296501,-18.100285,Nova Aurora,GO,2.101,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1099 integrantes."
2404101,-36.207993,-5.175724,Galinhos,RN,2.104,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1096 integrantes."
3100708,-48.084206,-20.005449,Água Comprida,MG,2.108,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1092 integrantes."
3513306,-50.769061,-22.737984,Cruzália,SP,2.108,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1092 integrantes."
3546256,-47.439605,-21.274844,Santa Cruz da Esperança,SP,2.116,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1084 integrantes."
5107156,-58.45778,-14.928429,Reserva do Cabaçal,MT,2.122,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1078 integrantes."
5212055,-49.410613,-15.962335,Jesúpolis,GO,2.123,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1077 integrantes."
4124301,-50.630623,-23.580338,Santo Antônio do Paraíso,PR,2.125,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1075 integrantes."
1704105,-47.444782,-9.073795,Centenário,TO,2.131,A,"O município não atingiria a quantidade mínima recomendada de componentes, considerando toda a sua população; faltariam 1069 integrantes."
